user,service,value,startDate,id,type
2qDLEBNv,long_coffee,1.0,1559887834924,377,INTERACTION
FmxgvxmU,cortado,1.0,1559887956305,378,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559888947435,379,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559889009653,380,INTERACTION
M8TX69h8,milk_coffee,1.0,1559890870225,381,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1559892927282,382,INTERACTION
2qDLEBNv,long_coffee,1.0,1559896254363,383,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559896640334,384,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559896655451,385,INTERACTION
ymETMF4M4,capuccino,1.0,1559899883971,386,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559914616908,387,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559978823043,388,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1560071631356,389,INTERACTION
5pVcV5V,chocolate,1.0,1560148508494,390,INTERACTION
gKUuuzg9,milk_coffee,1.0,1560148604725,391,INTERACTION
2qDLEBNv,long_coffee,1.0,1560150463021,392,INTERACTION
M8TX69h8,milk_coffee,1.0,1560154119912,393,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1560156543580,394,INTERACTION
gKUuuzg9,milk_coffee,1.0,1560156581441,395,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1560161267654,396,INTERACTION
gKUuuzg9,light_coffee,1.0,1560164478245,397,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1560164510850,398,INTERACTION
IQtg13hB,expresso,1.0,1560168442451,399,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1560233437974,400,INTERACTION
gKUuuzg9,milk_coffee,1.0,1560233460408,401,INTERACTION
2qDLEBNv,long_coffee,1.0,1560234289439,402,INTERACTION
