user,service_name,parameter,subservice_name,value,startdate,id,contextvalue,context_name
dbarrenetxea,signal_monitoring,Micra a micra Eje Z,Z1AxisForce,1.0,1695326615,2006,GrindingResearcher,role
dbarrenetxea,signal_monitoring,Circularidad CCW Eje X y Z,Z1AxisForce,1.0,1695326615,2006,GrindingResearcher,role
dbarrenetxea,signal_monitoring,Circularidad Eje X y Z,Z1AxisForce,1.0,1695326615,2006,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Z1AxisForce,1.0,1695326615,2006,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,Z1AxisForce,1.0,1695326615,2006,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Z1AxisForce,1.0,1695326615,2006,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH1Z1,Z1AxisForce,1.0,1695326615,2006,t2,shift
dbarrenetxea,signal_monitoring,Micra a micra Eje Z,Z1AxisForce,1.0,1695326615,2006,t2,shift
dbarrenetxea,signal_monitoring,Circularidad CCW Eje X y Z,Z1AxisForce,1.0,1695326615,2006,t2,shift
dbarrenetxea,signal_monitoring,Circularidad Eje X y Z,Z1AxisForce,1.0,1695326615,2006,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1,CAxisSpeed_actual,1.0,1695326615,2007,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH1X1,CAxisSpeed_actual,1.0,1695326615,2007,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,CAxisSpeed_actual,1.0,1695326615,2007,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,CAxisSpeed_actual,1.0,1695326615,2007,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,CAxisSpeed_actual,1.0,1695326615,2007,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH1Z1,CAxisSpeed_actual,1.0,1695326615,2007,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1,CAxisSpeed_actual,1.0,1695326615,2007,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH1X1,CAxisSpeed_actual,1.0,1695326615,2007,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,CAxisSpeed_actual,1.0,1695326615,2007,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,CAxisSpeed_actual,1.0,1695326615,2007,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,CAxisSpeed_actual,1.0,1695326615,2007,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH1Z1,CAxisSpeed_actual,1.0,1695326615,2007,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Power,1.0,1695326615,2008,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Power,1.0,1695326615,2008,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Power,1.0,1695326615,2008,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Power,1.0,1695326615,2008,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Power,1.0,1695326615,2008,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Power,1.0,1695326615,2008,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Speed_actual,1.0,1695326615,2009,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Speed_actual,1.0,1695326615,2009,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,Wheelhead2Speed_actual,1.0,1695326615,2009,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Speed_actual,1.0,1695326615,2009,GrindingResearcher,role
dbarrenetxea,signal_monitoring,TDOMONWH2X1,Wheelhead2Speed_actual,1.0,1695326615,2009,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1Z1,Wheelhead2Speed_actual,1.0,1695326615,2009,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH1X1Z1,Wheelhead2Speed_actual,1.0,1695326615,2009,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2Z1,Wheelhead2Speed_actual,1.0,1695326615,2009,t2,shift
dbarrenetxea,signal_monitoring,TDOMONWH2X1,X1AxisForce,1.0,1695326615,2010,GrindingResearcher,role
